UF;CASOS
AC;1625
AC;1708
AC;2813
AC;1130
AC;646
AC;7562
AC;1411
AC;3134
AC;681
AC;2512
AC;902
AC;1241
AC;1713
AC;1463
AC;540
AC;37194
AC;839
AC;957
AC;5749
AC;1158
AC;6379
AC;2980
AL;395
AL;1313
AL;26294
AL;1129
AL;417
AL;498
AL;1051
AL;110
AL;336
AL;1750
AL;501
AL;677
AL;549
AL;247
AL;2602
AL;468
AL;332
AL;911
AL;217
AL;310
AL;414
AL;338
AL;437
AL;3815
AL;1143
AL;3344
AL;561
AL;384
AL;719
AL;129
AL;636
AL;1724
AL;571
AL;970
AL;1038
AL;367
AL;265
AL;166
AL;407
AL;100
AL;560
AL;713
AL;147
AL;1012
AL;968
AL;1070
AL;78827
AL;720
AL;128
AL;1511
AL;315
AL;5903
AL;451
AL;426
AL;1406
AL;1068
AL;142
AL;217
AL;992
AL;188
AL;1423
AL;105
AL;180
AL;438
AL;361
AL;417
AL;4301
AL;1111
AL;558
AL;344
AL;723
AL;289
AL;3819
AL;769
AL;3117
AL;100
AL;898
AL;421
AL;1161
AL;356
AL;571
AL;858
AL;3272
AL;343
AL;449
AL;4304
AL;735
AL;342
AL;1086
AL;1201
AL;1187
AL;3405
AL;255
AL;1619
AL;1017
AL;304
AL;364
AL;589
AL;1889
AL;473
AL;2076
AL;1597
AM;2827
AM;2352
AM;1761
AM;1877
AM;1340
AM;2769
AM;2856
AM;4257
AM;2375
AM;2691
AM;2208
AM;927
AM;2582
AM;2135
AM;631
AM;1325
AM;6624
AM;4270
AM;989
AM;9331
AM;2407
AM;4172
AM;2604
AM;1598
AM;1676
AM;7802
AM;5016
AM;8668
AM;8950
AM;959
AM;3046
AM;880
AM;964
AM;2357
AM;6853
AM;9083
AM;1467
AM;180288
AM;4602
AM;2238
AM;4761
AM;1849
AM;2624
AM;2295
AM;1954
AM;9900
AM;2757
AM;6020
AM;4422
AM;2741
AM;1839
AM;8091
AM;5241
AM;1499
AM;1367
AM;3293
AM;1801
AM;9494
AM;1311
AM;1916
AM;2405
AM;2521
AP;1289
AP;1618
AP;867
AP;1429
AP;499
AP;8333
AP;54585
AP;2930
AP;5079
AP;3248
AP;1798
AP;381
AP;24513
AP;1156
AP;1914
AP;3910
BA;276
BA;919
BA;500
BA;869
BA;168
BA;464
BA;12477
BA;1432
BA;600
BA;2572
BA;2131
BA;851
BA;852
BA;791
BA;790
BA;602
BA;418
BA;1224
BA;439
BA;818
BA;491
BA;666
BA;609
BA;796
BA;3397
BA;572
BA;715
BA;367
BA;928
BA;798
BA;698
BA;1037
BA;2043
BA;2172
BA;1985
BA;690
BA;414
BA;17372
BA;843
BA;578
BA;734
BA;1024
BA;796
BA;464
BA;849
BA;250
BA;4986
BA;423
BA;588
BA;838
BA;590
BA;196
BA;680
BA;143
BA;127
BA;8805
BA;1297
BA;836
BA;831
BA;539
BA;1505
BA;1589
BA;449
BA;640
BA;2386
BA;855
BA;1226
BA;560
BA;2815
BA;22649
BA;2216
BA;735
BA;4731
BA;348
BA;1446
BA;1202
BA;519
BA;7217
BA;598
BA;1749
BA;878
BA;571
BA;776
BA;3456
BA;284
BA;1319
BA;296
BA;1008
BA;2342
BA;1998
BA;230
BA;5689
BA;215
BA;424
BA;223
BA;1847
BA;769
BA;1781
BA;813
BA;1549
BA;2251
BA;7619
BA;2878
BA;909
BA;1165
BA;252
BA;1579
BA;661
BA;945
BA;1239
BA;2328
BA;540
BA;400
BA;368
BA;851
BA;4587
BA;1055
BA;843
BA;5372
BA;921
BA;362
BA;471
BA;629
BA;1563
BA;276
BA;1836
BA;3023
BA;10668
BA;939
BA;236
BA;46619
BA;1024
BA;356
BA;767
BA;1111
BA;2594
BA;314
BA;385
BA;887
BA;690
BA;901
BA;328
BA;8814
BA;1369
BA;832
BA;1719
BA;470
BA;1991
BA;782
BA;1053
BA;985
BA;956
BA;121
BA;1626
BA;1002
BA;2164
BA;655
BA;1422
BA;1086
BA;402
BA;467
BA;723
BA;1011
BA;20278
BA;2121
BA;375
BA;3136
BA;2385
BA;251
BA;309
BA;227
BA;1590
BA;1400
BA;9249
BA;1531
BA;6424
BA;31699
BA;1174
BA;312
BA;780
BA;1132
BA;648
BA;568
BA;383
BA;2481
BA;6881
BA;454
BA;1687
BA;246
BA;1265
BA;1185
BA;740
BA;513
BA;5018
BA;1446
BA;902
BA;637
BA;684
BA;705
BA;890
BA;1492
BA;3075
BA;1523
