estado;casos
Acre;1625
Acre;1708
Acre;2813
Acre;1130
Acre;646
Acre;7562
Acre;1411
Acre;3134
Acre;681
Acre;2512
Acre;902
Acre;1241
Acre;1713
Acre;1463
Acre;540
Acre;37194
Acre;839
Acre;957
Acre;5749
Acre;1158
Acre;6379
Acre;2980
Acre;395
Alagoas;1313
Alagoas;26294
Alagoas;1129
Alagoas;417
Alagoas;498
Alagoas;1051
Alagoas;110
Alagoas;336
Alagoas;1750
Alagoas;501
Alagoas;677
Alagoas;549
Alagoas;247
Alagoas;2602
Alagoas;468
Alagoas;332
Alagoas;911
Alagoas;217
Alagoas;310
Alagoas;414
Alagoas;338
Alagoas;437
Alagoas;3815
Alagoas;1143
Alagoas;3344
Alagoas;561
Alagoas;384
Alagoas;719
Alagoas;129
Alagoas;636
Alagoas;1724
Alagoas;571
Alagoas;970
Alagoas;1038
Alagoas;367
Alagoas;265
Alagoas;166
Alagoas;407
Alagoas;100
Alagoas;560
Alagoas;713
Alagoas;147
Alagoas;1012
Alagoas;968
Alagoas;1070
Alagoas;78827
Alagoas;720
Alagoas;128
Alagoas;1511
Alagoas;315
Alagoas;5903
Alagoas;451
Alagoas;426
Alagoas;1406
Alagoas;1068
Alagoas;142
Alagoas;217
Alagoas;992
Alagoas;188
Alagoas;1423
Alagoas;105
Alagoas;180
Alagoas;438
Alagoas;361
Alagoas;417
Alagoas;4301
Alagoas;1111
Alagoas;558
Alagoas;344
Alagoas;723
Alagoas;289
Alagoas;3819
Alagoas;769
Alagoas;3117
Alagoas;100
Alagoas;898
Alagoas;421
Alagoas;1161
Alagoas;356
Alagoas;571
Alagoas;858
Alagoas;3272
Alagoas;343
Alagoas;449
Alagoas;4304
Alagoas;735
Alagoas;342
Alagoas;1086
Alagoas;1201
Alagoas;1187
Alagoas;3405
Alagoas;255
Alagoas;1619
Alagoas;1017
Alagoas;304
Alagoas;364
Alagoas;589
Alagoas;1889
Alagoas;473
Alagoas;2076
Alagoas;1597
Amazonas;2827
Amazonas;2352
Amazonas;1761
Amazonas;1877
Amazonas;1340
Amazonas;2769
Amazonas;2856
Amazonas;4257
Amazonas;2375
Amazonas;2691
Amazonas;2208
Amazonas;927
Amazonas;2582
Amazonas;2135
Amazonas;631
Amazonas;1325
Amazonas;6624
Amazonas;4270
Amazonas;989
Amazonas;9331
Amazonas;2407
Amazonas;4172
Amazonas;2604
Amazonas;1598
Amazonas;1676
Amazonas;7802
Amazonas;5016
Amazonas;8668
Amazonas;8950
Amazonas;959
Amazonas;3046
Amazonas;880
Amazonas;964
Amazonas;2357
Amazonas;6853
Amazonas;9083
Amazonas;1467
Amazonas;180288
Amazonas;4602
Amazonas;2238
Amazonas;4761
Amazonas;1849
Amazonas;2624
Amazonas;2295
Amazonas;1954
Amazonas;9900
Amazonas;2757
Amazonas;6020
Amazonas;4422
Amazonas;2741
Amazonas;1839
Amazonas;8091
Amazonas;5241
Amazonas;1499
Amazonas;1367
Amazonas;3293
Amazonas;1801
Amazonas;9494
Amazonas;1311
Amazonas;1916
Amazonas;2405
Amazonas;2521
Amapá;1289
Amapá;1618
Amapá;867
Amapá;1429
Amapá;499
Amapá;8333
Amapá;54585
Amapá;2930
Amapá;5079
Amapá;3248
Amapá;1798
Amapá;381
Amapá;24513
Amapá;1156
Amapá;1914
Amapá;3910
Bahia;276
Bahia;919
Bahia;500
Bahia;869
Bahia;168
Bahia;464
Bahia;12477
Bahia;1432
Bahia;600
Bahia;2572
Bahia;2131
Bahia;851
Bahia;852
Bahia;791
Bahia;790
Bahia;602
Bahia;418
Bahia;1224
Bahia;439
Bahia;818
Bahia;491
Bahia;666
Bahia;609
Bahia;796
Bahia;3397
Bahia;572
Bahia;715
Bahia;367
Bahia;928
Bahia;798
Bahia;698
Bahia;1037
Bahia;2043
Bahia;2172
Bahia;1985
Bahia;690
Bahia;414
Bahia;17372
Bahia;843
Bahia;578
Bahia;734
Bahia;1024
Bahia;796
Bahia;464
Bahia;849
Bahia;250
Bahia;4986
Bahia;423
Bahia;588
Bahia;838
Bahia;590
Bahia;196
Bahia;680
Bahia;143
Bahia;127
